Quote on 1/12/16 15:53:16

NYSE
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
A,38.19,Range Bound,"instrument=A
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.66%,"1,989,379",+.25,37.70,41.27,4,4,38.43,38.58,37.6462,43.59,33.115,"332,170,890",AGILENT TECHNOLOGIES INC COM
AA,7.28,Downtrend,"instrument=AA
trend=[null, BRIGHT_GREEN, BRIGHT_RED, BRIGHT_GREEN, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-9.00%,"91,259,153",-.72,7.28,7.29,19,158,8.01,8.02,7.10,17.10,7.81,"1,310,128,840",ALCOA INC COM
AAN,22.70,Range Bound,"instrument=AAN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+10.46%,"1,723,186",+2.15,18.84,30.29,0,3,20.81,23.19,20.81,40.80,20.24,"72,592,731",AARON'S INC COM CL A
AAP,148.07,Range Bound,"instrument=AAP
trend=[null, RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.69%,"1,018,498",+1.02,140.48,155.74,1,1,147.52,148.97,145.735,201.24,142.63,"73,236,597",ADVANCE AUTO PARTS INC COM
AAT,37.53,Range Bound,"instrument=AAT
trend=[null, RED_OVER_GREEN, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.74%,"196,456",-.28,34.34,40.72,2,2,37.99,37.99,37.17,45.09,37.27,"45,346,302",AMERICAN ASSETS TRUST COM
AAV,4.69,Range Bound,"instrument=AAV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.52%,"94,817",+.07,3.95,5.50,2,20,4.70,4.74,4.495,6.59,3.8903,"170,700,000",ADVANTAGE OIL & GAS LTD COM
AB,21.00,Range Bound,"instrument=AB
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.89%,"161,941",+.39,14.00,26.97,1,2,20.87,21.17,20.692,32.74,20.55,"97,772,578",ALLIANCEBERNSTEIN HOLDING LP COM
ABB,16.66,Range Bound,"instrument=ABB
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.15%,"4,154,001",+.35,16.60,16.66,3,3,16.59,16.69,16.44,23.66,16.20,"2,215,833,800",ABB LTD ADR
ABBV,54.84,Range Bound,"instrument=ABBV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.78%,"6,786,325",+.96,54.75,54.85,2,1,54.47,54.9701,53.57,71.60,45.45,"1,634,746,900",ABBVIE INC COM
ABC,94.18,Range Bound,"instrument=ABC
trend=[null, RED, RED, GREEN_OVER_RED, RED_OVER_GREEN, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.13%,"3,620,429",+.12,93.72,96.01,1,1,94.45,95.51,93.78,120.68,90.35,"205,632,940",AMERISOURCEBERGEN CORP COM
ABG,52.56,Downtrend,"instrument=ABG
trend=[null, GREEN, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-5.65%,"750,815",-3.15,48.08,52.55,2,1,54.90,54.94,51.00,96.582,53.12,"25,382,105",ASBURY AUTOMOTIVE GROUP INC COM
ABM,27.15,Range Bound,"instrument=ABM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.48%,"308,518",+.13,22.51,31.77,1,1,27.21,27.39,26.92,34.00,26.50,"56,071,902",ABM INDUSTIRES INC COM
ABR,6.75,Range Bound,"instrument=ABR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.02%,"118,751",-.21,6.72,6.81,37,1,6.99,7.00,6.75,7.42,6.03,"50,962,516",ARBOR REALTY TRUST INC COM
