Quote on 1/12/16 15:55:27

NASDAQ
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
ZYNE,8.43,N/A,"instrument=ZYNE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.29%,"44,137",-.11,6.40,13.57,0,2,8.60,8.8199,8.19,43.00,8.08,"9,199,919",ZYNERBA PHARMACEUTICALS INC COM
ZUMZ,16.99,Range Bound,"instrument=ZUMZ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.59%,"608,314",-.10,14.50,18.37,11,2,17.41,18.05,16.62,41.37,11.5315,"26,685,436",ZUMIEZ INC COM
ZPIN,14.99,Range Bound,"instrument=ZPIN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.97%,"33,127",+.29,12.30,17.54,1,1,14.74,15.00,14.67,17.66,11.65,"62,441,085",ZHAOPIN LTD ADR
ZOES,28.80,Range Bound,"instrument=ZOES
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.82%,"385,568",+1.06,24.60,29.25,2,1,27.98,28.92,27.79,46.61,25.44,"19,383,744",ZOES KITCHEN INC COM
ZNGA,2.39,Range Bound,"instrument=ZNGA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"18,810,472",0,2.39,2.41,6,1,2.40,2.46,2.38,3.125,2.20,"932,971,600",ZYNGA INC COM
ZLTQ,26.53,Downtrend,"instrument=ZLTQ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+5.03%,"1,939,428",+1.27,23.14,31.30,1,1,26.11,28.25,25.72,38.49,24.44,"39,025,926",ZELTIQ AESTHETICS INC COM
ZIXI,4.72,Downtrend,"instrument=ZIXI
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.21%,"541,284",+.01,4.40,5.50,10,10,4.76,4.80,4.625,5.78,3.44,"55,479,489",ZIX CORPORATION COM
ZIVO,.0419,N/A,"instrument=ZIVO
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"62,200",0,.0425,.0472,"10,000","10,000",.04132,.0419,.04132,.2099,.0361,"132,049,700",ZIVO BIOSCIENCE INC COM
ZIOP,6.27,Downtrend,"instrument=ZIOP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-0.63%,"3,728,803",-.04,6.18,6.27,2,1,6.50,6.78,5.9401,14.93,5.45,"130,888,901",ZIOPHARM ONCOLOGY INC COM
ZION,24.01,Downtrend,"instrument=ZION
trend=[GREEN, RED, GREEN, RED, RED, RED, GREEN, RED, RED, BRIGHT_RED]
headPointer=4
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.41%,"4,346,853",-.10,23.86,24.81,7,7,24.42,24.51,23.26,33.03,23.72,"204,294,520",ZIONS BANCORPORATION COM
ZINC,1.38,Downtrend,"instrument=ZINC
trend=[null, RED, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-8.61%,"1,497,619",-.13,1.40,1.41,2,7,1.54,1.544,1.35,15.85,1.48,"57,938,598",HORSEHEAD HOLDING CORP COM
