Quote on 1/12/16 15:59:08

NYSE AMEX
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
AAU,.58,Range Bound,"instrument=AAU
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-3.33%,"68,567",-.02,.57,1.23,0,6,.59,.61,.57,1.27,.4825,"73,148,321",ALMADEN MINERALS LTD CL B
AAp,82.75,N/A,"instrument=AAp
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,415,0,82.75,85.00,10,1,0,0,0,89.9183,78.01,0,ALCOA INC PFD $3.75 CALLABLE
ABL,<empty>,N/A,"instrument=ABL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,AMERICAN BILTRITE INC COM
ACU,16.2471,N/A,"instrument=ACU
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.11%,"2,035",+.0171,15.80,16.40,1,1,16.468,16.468,16.2471,19.74,15.5784,"3,370,591",ACME UTD CORP COM
ACY,11.61,N/A,"instrument=ACY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.63%,"33,541",+.0725,10.01,11.80,30,0,11.50,11.9035,11.50,14.00,7.61,"1,543,257",AERO CENTURY CORP COM
ADGE,.3099,N/A,"instrument=ADGE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-8.85%,"3,913",-.0301,.2900,.6500,2,3,.3151,.3151,.3000,.9000,.2602,"50,684,095",AMERICAN DG ENERGY ONSITE UTILITY
ADK,2.0299,Range Bound,"instrument=ADK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,"90,958",-.0001,2.0200,5.0000,0,262,2.0796,2.2400,1.9800,4.5000,1.8500,"19,902,283",ADCARE HEALTH SYSTEMS INC COM
ADK/WS,<empty>,N/A,"instrument=ADK/WS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ADCARE HEALTH SYSTEMS INC WARRANT
AE,37.85,N/A,"instrument=AE
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.25%,"9,712",-.48,31.13,37.99,1,13,38.09,39.01,37.32,73.279,33.55,"4,217,596",ADAMS RES & ENERGY INC CM
AEN,<empty>,N/A,"instrument=AEN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,ADEONA PHARMACEUTICALS INC N/C 2/16/12 87164U102
AFP,<empty>,N/A,"instrument=AFP
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,UNITED CAPITAL CORP CM
AGX,29.81,Range Bound,"instrument=AGX
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-2.10%,"201,536",-.64,27.23,32.32,1,1,30.66,30.84,29.58,42.50,28.85,"14,826,469",ARGAN INC COM
