Quote on 1/12/16 15:53:53

S&P 500
Symbol,Last,,Quote Trend,%Change,Volume,Net Chng,Bid,Ask,BS,AS,Open,High,Low,52High,52Low,Shares,Description
MMM,140.86,Range Bound,"instrument=MMM
trend=[RED, GREEN, RED, GREEN, RED, GREEN, RED, RED, RED, GREEN]
headPointer=3
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.28%,"2,363,510",+.40,140.01,140.86,1,3,141.36,142.15,139.13,170.50,134.00,"615,712,940",3M CO COM
A,38.19,Range Bound,"instrument=A
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, RED_OVER_GREEN, RED_OVER_GREEN, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.66%,"1,989,379",+.25,37.78,41.19,4,4,38.43,38.58,37.6462,43.59,33.115,"332,170,890",AGILENT TECHNOLOGIES INC COM
AA,7.28,Downtrend,"instrument=AA
trend=[null, BRIGHT_GREEN, BRIGHT_RED, BRIGHT_GREEN, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-9.00%,"91,259,153",-.72,7.28,7.29,19,158,8.01,8.02,7.10,17.10,7.81,"1,310,128,840",ALCOA INC COM
AAL,42.00,Range Bound,"instrument=AAL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.24%,"12,620,760",+.92,41.80,42.01,1,1,41.15,42.36,40.48,56.20,34.10,"630,325,540",AMERICAN AIRLINES GROUP INC COM
AAP,148.07,Range Bound,"instrument=AAP
trend=[null, RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.69%,"1,018,498",+1.02,140.48,155.74,1,1,147.52,148.97,145.735,201.24,142.63,"73,236,597",ADVANCE AUTO PARTS INC COM
AAPL,99.96,Range Bound,"instrument=AAPL
trend=[RED, GREEN, GREEN, GREEN, GREEN, RED, RED, BRIGHT_RED, RED, GREEN]
headPointer=5
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.45%,"49,033,983",+1.43,99.70,99.77,3,2,100.55,100.69,98.8399,134.54,92.00,"5,575,331,000",APPLE INC COM
ABBV,54.84,Range Bound,"instrument=ABBV
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.78%,"6,786,325",+.96,54.75,54.85,3,1,54.47,54.9701,53.57,71.60,45.45,"1,634,746,900",ABBVIE INC COM
ABC,94.18,Range Bound,"instrument=ABC
trend=[null, RED, RED, GREEN_OVER_RED, RED_OVER_GREEN, BRIGHT_RED, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.13%,"3,620,429",+.12,93.70,95.97,1,1,94.45,95.51,93.78,120.68,90.35,"205,632,940",AMERISOURCEBERGEN CORP COM
ABT,41.46,Range Bound,"instrument=ABT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+1.79%,"7,329,319",+.73,41.30,41.40,2,1,40.99,41.61,40.87,51.74,39.00,"1,491,719,900",ABBOTT LABS COM
ACE,112.10,Range Bound,"instrument=ACE
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.64%,"2,913,197",+1.81,106.65,113.51,2,2,111.03,112.36,110.06,119.855,96.00,"324,181,470",A C E LIMITED COM
ACN,101.01,Range Bound,"instrument=ACN
trend=[null, GREEN, GREEN, RED, GREEN, RED, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.79%,"2,811,046",+1.78,97.53,104.76,2,2,99.96,101.29,99.435,109.86,83.47,"650,926,550",ACCENTURE LTD ORD
ADBE,89.82,Range Bound,"instrument=ADBE
trend=[null, RED, BRIGHT_RED, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.49%,"2,347,960",+.44,89.32,91.47,2,1,89.89,91.03,88.4075,96.42,68.98,"498,799,350",ADOBE SYSTEMS INC COM
ADI,51.65,Range Bound,"instrument=ADI
trend=[null, RED, RED, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.94%,"2,445,696",+.48,51.34,51.64,3,1,51.55,52.22,50.97,68.97,49.98,"312,060,680",ANALOG DEVICES INC COM
ADM,34.27,Range Bound,"instrument=ADM
trend=[null, RED, RED, RED, GREEN, RED, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.32%,"3,445,742",+.11,34.08,34.25,4,1,34.56,34.66,33.77,53.31,33.84,"596,739,890",ARCHER DANIELS MIDLAND CO COM
ADP,79.47,Range Bound,"instrument=ADP
trend=[null, RED, RED, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.22%,"1,975,161",+.96,79.06,79.41,1,1,78.86,79.50,78.435,90.67,64.29,"461,206,620",AUTOMATIC DATA PROCESSING INC COM
ADS,257.29,Range Bound,"instrument=ADS
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.65%,"455,295",+4.17,244.26,270.69,1,1,255.64,258.19,251.67,312.00,241.91,"61,138,307",ALLIANCE DATASYS CORP COM
ADSK,54.79,Range Bound,"instrument=ADSK
trend=[null, RED, RED, RED, GREEN_OVER_RED, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.80%,"2,439,184",-.44,54.42,56.05,1,1,55.51,56.50,54.55,65.78,42.06,"225,323,160",AUTODESK INC COM
ADT,29.42,Range Bound,"instrument=ADT
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, RED, RED, RED, RED, null, null, null]
headPointer=6
separatorPointer=6
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.64%,"2,831,069",-.49,29.24,30.88,5,6,30.26,30.28,28.94,42.88,29.34,"164,937,090",THE ADT CORPORATION COM
AEE,43.38,Range Bound,"instrument=AEE
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, GREEN, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.32%,"1,797,115",-.14,41.54,44.10,4,4,43.64,43.64,42.98,46.81,37.26,"242,634,800",AMEREN CORP CM
AEP,58.17,Range Bound,"instrument=AEP
trend=[null, RED, GREEN, RED, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-1.02%,"4,252,076",-.60,57.90,61.44,3,1,58.89,58.97,57.46,65.38,52.29,"490,817,400",AMERICAN ELEC PWR INC COM
AES,8.75,Range Bound,"instrument=AES
trend=[null, RED, RED, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-3.10%,"6,157,714",-.28,8.69,8.76,8,6,9.10,9.11,8.68,14.02,8.76,"672,862,160",AES CORP COM
AET,109.15,Range Bound,"instrument=AET
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+3.88%,"4,210,617",+4.08,105.28,110.67,1,1,104.53,109.60,104.53,134.40,88.70,"348,700,000",AETNA US HEALTHCARE COM
AFL,57.80,Range Bound,"instrument=AFL
trend=[null, RED, GREEN, GREEN, RED, null, null, null, null, null]
headPointer=4
separatorPointer=4
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.26%,"2,372,195",+.72,57.45,57.78,3,1,57.63,57.94,57.02,66.53,51.41,"426,738,680",AFLAC INC CM
AGN,296.03,Range Bound,"instrument=AGN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",-1.12%,"2,466,123",-3.34,293.47,296.00,3,1,301.36,302.37,293.47,340.34,237.5001,"394,124,530",ALLERGAN PLC COM
AIG,57.96,Range Bound,"instrument=AIG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.47%,"8,549,734",+.27,58.50,59.99,10,3,58.20,58.39,57.30,64.93,48.68,"1,237,012,510",AMERICAN INTL GROUP INC COM
AIV,39.18,Range Bound,"instrument=AIV
trend=[null, RED, GREEN, RED, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",-0.71%,"1,286,722",-.28,39.01,39.18,2,1,39.67,39.72,38.86,41.55,34.71,"156,423,550",APARTMENT INVT & MGMT CO COM
AIZ,77.79,Range Bound,"instrument=AIZ
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+0.50%,"511,471",+.39,74.98,81.73,1,1,77.76,77.98,76.97,87.20,59.73,"65,839,094",ASSURANT INC COM
AKAM,46.88,Downtrend,"instrument=AKAM
trend=[RED, RED, RED, GREEN, GREEN, RED, GREEN, RED, GREEN, RED]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+3.12%,"6,203,349",+1.42,46.58,46.88,1,1,46.01,48.19,46.01,78.44,44.93,"177,938,950",AKAMAI TECHNOLOGIES COM
ALL,58.65,Range Bound,"instrument=ALL
trend=[null, RED, RED, RED, RED, GREEN_OVER_RED, RED_OVER_GREEN, RED, GREEN_OVER_RED, null]
headPointer=8
separatorPointer=8
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.09%,"2,957,902",+.63,58.36,59.60,3,1,58.43,58.7399,57.81,72.87,54.12,"387,306,180",ALLSTATE CORP COMM
ALLE,60.11,Range Bound,"instrument=ALLE
trend=[null, RED_OVER_GREEN, null, null, null, null, null, null, null, null]
headPointer=1
separatorPointer=1
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+1.04%,"521,537",+.62,59.38,61.35,2,2,59.96,60.435,59.33,68.08,52.33,"95,911,934",ALLEGION PLC ORD
ALTR,0,Downtrend,"instrument=ALTR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",0.00%,0,0,53.97,53.98,0,0,0,0,0,0,0,"302,857,000",ALTERA CORP CSH MRG $54.00/SH 12/29/15
ALXN,166.12,Range Bound,"instrument=ALXN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 18:00:00 CST 1969
",+2.77%,"1,455,558",+4.47,154.00,166.12,1,1,162.99,167.30,160.57,208.88,142.02,"225,324,300",ALEXION PHARMACEAUTICALS INC COM
AMAT,16.75,Range Bound,"instrument=AMAT
trend=[null, BRIGHT_RED, GREEN, RED, null, null, null, null, null, null]
headPointer=3
separatorPointer=3
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.42%,"13,600,101",+.07,16.65,16.74,7,7,16.93,17.20,16.57,25.64,14.25,"1,149,133,390",APPLIED MATERIALS INC COM
AME,48.47,Range Bound,"instrument=AME
trend=[null, GREEN_OVER_RED, RED_OVER_GREEN, RED, RED, RED, null, null, null, null]
headPointer=5
separatorPointer=5
currentSessionEndTime=Wed Jan 13 15:00:00 CST 2016
",+0.56%,"1,711,877",+.27,48.16,51.00,3,3,48.72,48.77,47.875,57.67,47.80,"237,882,580",AMETEK INC COM NEW
